Brand,model,Age,kmDriven,Transmission,Owner,FuelType,AskPrice,Brand_Model,AgeGroup,km_per_year,log_kmDriven
Kia,Carnival,3,25000.0,Automatic,first,Diesel,2900000,Kia_Carnival,Recent,8333.333333333334,10.12667110305036
Maruti Suzuki,Swift-Dzire,12,72700.0,Manual,second,Petrol,240000,Maruti Suzuki_Swift-Dzire,Old,6058.333333333333,11.194110418585193
Toyota,Corolla,17,121931.0,Automatic,second,Petrol,201350,Toyota_Corolla,Old,7172.411764705882,11.711218791273883
Mercedes-Benz,GLE COUPE,3,32000.0,Automatic,second,Petrol,11800000,Mercedes-Benz_GLE COUPE,Recent,10666.666666666666,10.373522431293592
Hyundai,Xcent,6,130000.0,Manual,second,Diesel,330000,Hyundai_Xcent,Mid,21666.666666666668,11.775297421715827
Kia,Seltos,4,68000.0,Manual,first,Diesel,1045000,Kia_Seltos,Recent,17000.0,11.127277689932466
Maruti Suzuki,Ertiga,8,65000.0,Manual,second,Diesel,785000,Maruti Suzuki_Ertiga,Mid,8125.0,11.082157933374816
Maruti Suzuki,Ertiga,7,59000.0,Automatic,second,Petrol,555000,Maruti Suzuki_Ertiga,Mid,8428.57142857143,10.985309671896763
BMW,3 Series GT,9,61000.0,Automatic,second,Diesel,1500000,BMW_3 Series GT,Mid,6777.777777777777,11.0186455364637
Ford,Endeavour,5,77000.0,Automatic,second,Diesel,2399000,Ford_Endeavour,Recent,15400.0,11.251573687764477
Toyota,Innova Crysta,7,107000.0,Automatic,first,Diesel,1325000,Toyota_Innova Crysta,Mid,15285.714285714286,11.580593459194764
Honda,City,14,99000.0,Manual,first,Petrol,295000,Honda_City,Old,7071.428571428572,11.502885230075814
Audi,A3,9,42000.0,Automatic,second,Diesel,1050000,Audi_A3,Mid,4666.666666666667,10.645448706505872
Renault,KWID,5,48073.0,Automatic,second,Petrol,355000,Renault_KWID,Recent,9614.6,10.780496769408607
MG,Hector,5,32618.0,Automatic,first,Petrol,1250000,MG_Hector,Recent,6523.6,10.392650219665859
Maruti Suzuki,Swift-Dzire,12,70000.0,Manual,second,Diesel,315000,Maruti Suzuki_Swift-Dzire,Old,5833.333333333333,11.156264806643742
Maruti Suzuki,Celerio,10,51000.0,Automatic,second,Petrol,345000,Maruti Suzuki_Celerio,Mid,5100.0,10.839600519357369
Maruti Suzuki,Vitara-Brezza,6,137000.0,Manual,first,Diesel,845000,Maruti Suzuki_Vitara-Brezza,Mid,22833.333333333332,11.827743504053695
Toyota,2.8 Legender 4X2,1,1996.0,Automatic,first,Diesel,4195000,Toyota_2.8 Legender 4X2,New,1996.0,7.599401333415815
Toyota,Innova Crysta,7,90000.0,Manual,second,Diesel,1950000,Toyota_Innova Crysta,Mid,12857.142857142857,11.407576060361786
Toyota,Innova,13,84000.0,Manual,second,Diesel,490000,Toyota_Innova,Old,6461.538461538462,11.338583982516495
Volvo,S90,6,53000.0,Automatic,first,Diesel,2950000,Volvo_S90,Mid,8833.333333333334,10.87806606028079
Hyundai,Venue,3,17000.0,Manual,first,Petrol,685000,Hyundai_Venue,Recent,5666.666666666667,9.741027444837728
Maruti Suzuki,Ertiga,6,70000.0,Manual,second,Petrol,749000,Maruti Suzuki_Ertiga,Mid,11666.666666666666,11.156264806643742
Hyundai,Creta,1,5000.0,Automatic,first,Petrol,1600000,Hyundai_Creta,New,5000.0,8.517393171418904
Hyundai,Alcazar,2,47110.0,Manual,second,Diesel,1695000,Hyundai_Alcazar,New,23555.0,10.760261798384528
Hyundai,i20,5,35000.0,Manual,first,Petrol,585000,Hyundai_i20,Recent,7000.0,10.463131911491967
Mercedes-Benz,E-Class,5,101570.0,Automatic,first,Diesel,4200000,Mercedes-Benz_E-Class,Recent,20314.0,11.52851334031188
Volkswagen,Polo,3,42000.0,Manual,second,Petrol,675000,Volkswagen_Polo,Recent,14000.0,10.645448706505872
Maruti Suzuki,Baleno,6,30000.0,Manual,second,Petrol,630000,Maruti Suzuki_Baleno,Mid,5000.0,10.308985993422082
Hyundai,Verna,8,82100.0,Manual,second,Diesel,465000,Hyundai_Verna,Mid,10262.5,11.315705475634307
Audi,A4,12,90000.0,Automatic,second,Diesel,899000,Audi_A4,Old,7500.0,11.407576060361786
Toyota,Fortuner,13,193000.0,Manual,second,Diesel,1125000,Toyota_Fortuner,Old,14846.153846153846,12.170450649220749
Mercedes-Benz,C-Class,9,65000.0,Automatic,first,Diesel,1750000,Mercedes-Benz_C-Class,Mid,7222.222222222223,11.082157933374816
Hyundai,Creta,2,30000.0,Automatic,second,Petrol,1690000,Hyundai_Creta,New,15000.0,10.308985993422082
Maruti Suzuki,Swift-Dzire,4,94856.0,Manual,first,Petrol,690000,Maruti Suzuki_Swift-Dzire,Recent,23714.0,11.460125773378028
Skoda,Kushaq,1,12000.0,Automatic,first,Petrol,1800000,Skoda_Kushaq,New,12000.0,9.392745258631441
Maruti Suzuki,Ciaz,6,0.0,Manual,first,Petrol,500000,Maruti Suzuki_Ciaz,Mid,0.0,0.0
Toyota,Innova Crysta,6,118000.0,Automatic,first,Diesel,1795000,Toyota_Innova Crysta,Mid,19666.666666666668,11.678448377988165
Mercedes-Benz,C-Class,8,41000.0,Automatic,second,Petrol,2000000,Mercedes-Benz_C-Class,Mid,5125.0,10.62135173563291
Honda,City,14,79000.0,Manual,second,Petrol,290000,Honda_City,Old,5642.857142857143,11.277215789596893
Honda,BRV,8,103001.0,Manual,second,Diesel,555555,Honda_BRV,Mid,12875.125,11.542503684498984
Hyundai,Creta,7,70000.0,Manual,second,Petrol,765000,Hyundai_Creta,Mid,10000.0,11.156264806643742
Renault,Duster,6,130000.0,Manual,first,Diesel,690000,Renault_Duster,Mid,21666.666666666668,11.775297421715827
Maruti Suzuki,Wagon-R,13,78000.0,Manual,second,Petrol,225000,Maruti Suzuki_Wagon-R,Old,6000.0,11.264476926102367
Toyota,Fortuner,7,115000.0,Automatic,second,Diesel,2390000,Toyota_Fortuner,Mid,16428.571428571428,11.652696102959753
Mahindra,Bolero Power Plus,7,160000.0,Manual,second,Diesel,550000,Mahindra_Bolero Power Plus,Mid,22857.14285714286,11.982935344196433
Hyundai,Eon,7,27000.0,Manual,second,Petrol,300000,Hyundai_Eon,Mid,3857.1428571428573,10.203629181337648
MG,Hector Plus,4,81600.0,Automatic,first,Petrol,1021000,MG_Hector Plus,Recent,20400.0,11.309596795779068
Hyundai,Creta,7,54000.0,Automatic,first,Petrol,811000,Hyundai_Creta,Mid,7714.285714285715,10.896757843893464
Mahindra,XUV500,6,76000.0,Manual,first,Diesel,1125000,Mahindra_XUV500,Mid,12666.666666666666,11.23850177707664
Mercedes-Benz,GLS,10,86000.0,Automatic,first,Diesel,3000000,Mercedes-Benz_GLS,Mid,8600.0,11.362114203075018
Hyundai,i10,13,65000.0,Manual,second,Petrol,115000,Hyundai_i10,Old,5000.0,11.082157933374816
Mercedes-Benz,GLA Class,6,60000.0,Automatic,second,Diesel,1450000,Mercedes-Benz_GLA Class,Mid,10000.0,11.002116507732017
Kia,Carens,1,24000.0,Manual,first,Petrol,1225000,Kia_Carens,New,24000.0,10.085850775128717
Toyota,Innova,13,100231.0,Manual,second,Diesel,429101,Toyota_Innova,Old,7710.076923076923,11.515242777925389
Maruti Suzuki,Ignis,1,13000.0,Manual,second,Petrol,610000,Maruti Suzuki_Ignis,New,13000.0,9.472781556562168
Hyundai,Grand i10,7,47000.0,Manual,first,Petrol,519999,Hyundai_Grand i10,Mid,6714.285714285715,10.757924157061597
Hyundai,Getz Prime,17,115031.0,Manual,second,Petrol,140000,Hyundai_Getz Prime,Old,6766.529411764706,11.652965629507577
Maruti Suzuki,Swift,10,67000.0,Manual,first,Petrol,280000,Maruti Suzuki_Swift,Mid,6700.0,11.112462823634855
Hyundai,Xcent,8,74500.0,Manual,first,Diesel,425000,Hyundai_Xcent,Mid,9312.5,11.218567827096358
Honda,City,8,93000.0,Automatic,second,Petrol,575000,Honda_City,Mid,11625.0,11.440365524765756
Maruti Suzuki,Ritz,9,59000.0,Manual,first,Petrol,295000,Maruti Suzuki_Ritz,Mid,6555.555555555556,10.985309671896763
Toyota,Innova Crysta,7,79000.0,Automatic,second,Diesel,1725000,Toyota_Innova Crysta,Mid,11285.714285714286,11.277215789596893
Hyundai,Verna,2,69000.0,Automatic,first,Diesel,1250000,Hyundai_Verna,New,34500.0,11.141876276228
Hyundai,Creta,9,76000.0,Automatic,second,Diesel,650000,Hyundai_Creta,Mid,8444.444444444445,11.23850177707664
Kia,Sonet,4,34500.0,Automatic,first,Petrol,935000,Kia_Sonet,Recent,8625.0,10.448743588106625
Ford,Ecosport,8,130000.0,Manual,second,Diesel,400000,Ford_Ecosport,Mid,16250.0,11.775297421715827
Mercedes-Benz,GLC Coupe,2,20000.0,Automatic,first,Diesel,7500000,Mercedes-Benz_GLC Coupe,New,10000.0,9.90353755128617
Mahindra,Scorpio-N,1,15905.0,Automatic,first,Diesel,2350000,Mahindra_Scorpio-N,New,15905.0,9.67445167551708
Toyota,Innova Crysta,3,21000.0,Manual,first,Diesel,2125000,Toyota_Innova Crysta,Recent,7000.0,9.952325334619427
Mini,Cooper 3 DOOR,5,13000.0,Automatic,first,Petrol,3950000,Mini_Cooper 3 DOOR,Recent,2600.0,9.472781556562168
Maruti Suzuki,Ertiga,9,75000.0,Manual,first,Diesel,435000,Maruti Suzuki_Ertiga,Mid,8333.333333333334,11.225256725762893
Volkswagen,Polo,12,80000.0,Manual,second,Diesel,300000,Volkswagen_Polo,Old,6666.666666666667,11.289794413577894
Maruti Suzuki,Wagon-R,8,50000.0,Manual,first,Petrol,245000,Maruti Suzuki_Wagon-R,Mid,6250.0,10.819798284210286
Tata,Nexon,2,40000.0,Automatic,second,Petrol,680000,Tata_Nexon,New,20000.0,10.596659732783579
Maruti Suzuki,Ritz,11,87000.0,Manual,first,Diesel,385000,Maruti Suzuki_Ritz,Old,7909.090909090909,11.373674891823535
Toyota,Etios,9,155000.0,Manual,second,Diesel,589000,Toyota_Etios,Mid,17222.222222222223,11.951186847493476
Volkswagen,CrossPolo,10,80000.0,Manual,second,Diesel,425000,Volkswagen_CrossPolo,Mid,8000.0,11.289794413577894
Maruti Suzuki,Wagon-R,10,84000.0,Manual,second,Petrol,265000,Maruti Suzuki_Wagon-R,Mid,8400.0,11.338583982516495
Volkswagen,Polo,3,18000.0,Automatic,first,Petrol,850000,Volkswagen_Polo,Recent,6000.0,9.798182590890704
Maruti Suzuki,Baleno,7,47000.0,Automatic,first,Petrol,575000,Maruti Suzuki_Baleno,Mid,6714.285714285715,10.757924157061597
Volkswagen,Vento,13,134000.0,Manual,first,Diesel,425000,Volkswagen_Vento,Old,10307.692307692309,11.80560254159177
Maruti Suzuki,Alto-K10,13,82000.0,Manual,first,Petrol,180000,Maruti Suzuki_Alto-K10,Old,6307.692307692308,11.314486721293981
Maruti Suzuki,Celerio,9,35000.0,Automatic,first,Petrol,425000,Maruti Suzuki_Celerio,Mid,3888.8888888888887,10.463131911491967
Renault,Duster,9,150000.0,Automatic,second,Diesel,450000,Renault_Duster,Mid,16666.666666666668,11.918397239722838
Toyota,Fortuner,12,132000.0,Manual,first,Diesel,1095000,Toyota_Fortuner,Old,11000.0,11.790564777297387
Land Rover,Range Rover Evoque,7,130000.0,Automatic,second,Petrol,2500000,Land Rover_Range Rover Evoque,Mid,18571.428571428572,11.775297421715827
Maruti Suzuki,Ertiga,4,59000.0,Automatic,first,Petrol,980000,Maruti Suzuki_Ertiga,Recent,14750.0,10.985309671896763
Tata,Nexon,6,95000.0,Automatic,second,Petrol,575000,Tata_Nexon,Mid,15833.333333333334,11.461642696843066
Tata,Indigo Ecs,8,115000.0,Manual,second,Diesel,110000,Tata_Indigo Ecs,Mid,14375.0,11.652696102959753
Mahindra,Thar,2,11000.0,Manual,first,Diesel,1675000,Mahindra_Thar,New,5500.0,9.305741456739435
Toyota,Camry,9,68000.0,Automatic,second,Petrol,1185000,Toyota_Camry,Mid,7555.555555555556,11.127277689932466
Skoda,Kushaq,3,74000.0,Automatic,first,Petrol,1199000,Skoda_Kushaq,Recent,24666.666666666668,11.211833885608513
Maruti Suzuki,Ritz,12,88000.0,Manual,first,Petrol,385000,Maruti Suzuki_Ritz,Old,7333.333333333333,11.385103457032141
Hyundai,Grand i10,10,47000.0,Automatic,second,Petrol,455000,Hyundai_Grand i10,Mid,4700.0,10.757924157061597
Mahindra,Bolero,9,16.0,Manual,first,Diesel,390000,Mahindra_Bolero,Mid,1.7777777777777777,2.833213344056216
Honda,Brio,12,68000.0,Manual,first,Petrol,235000,Honda_Brio,Old,5666.666666666667,11.127277689932466
Honda,City ZX,17,115000.0,Manual,second,Petrol,265000,Honda_City ZX,Old,6764.705882352941,11.652696102959753
Hyundai,i10,13,50000.0,Manual,second,Petrol,150000,Hyundai_i10,Old,3846.153846153846,10.819798284210286
Honda,WRV,7,98000.0,Manual,first,Diesel,600000,Honda_WRV,Mid,14000.0,11.49273296168228
Land Rover,Discovery Sport,5,62000.0,Automatic,first,Diesel,3099000,Land Rover_Discovery Sport,Recent,12400.0,11.034905792929415
Tata,Harrier,5,67000.0,Manual,second,Diesel,899000,Tata_Harrier,Recent,13400.0,11.112462823634855
Tata,Zest,9,69000.0,Manual,second,Petrol,340000,Tata_Zest,Mid,7666.666666666667,11.141876276228
Maruti Suzuki,Eeco,3,49000.0,Manual,first,Petrol,540000,Maruti Suzuki_Eeco,Recent,16333.333333333334,10.799595985047786
Maruti Suzuki,Swift-Dzire,11,162000.0,Manual,second,Diesel,390000,Maruti Suzuki_Swift-Dzire,Old,14727.272727272728,11.995357787034976
Toyota,Fortuner,6,86000.0,Manual,first,Diesel,2499000,Toyota_Fortuner,Mid,14333.333333333334,11.362114203075018
Hyundai,Creta,1,35000.0,Automatic,first,Diesel,2025000,Hyundai_Creta,New,35000.0,10.463131911491967
Maruti Suzuki,Wagon-R,10,38000.0,Manual,first,Petrol,370000,Maruti Suzuki_Wagon-R,Mid,3800.0,10.545367754151743
Hyundai,Creta,4,105000.0,Manual,first,Diesel,1050000,Hyundai_Creta,Recent,26250.0,11.561725152903833
Toyota,2.8 Legender 4X2,2,25500.0,Automatic,first,Diesel,4199999,Toyota_2.8 Legender 4X2,New,12750.0,10.146472946063877
Maruti Suzuki,Swift Dzire,9,67000.0,Manual,first,Petrol,450000,Maruti Suzuki_Swift Dzire,Mid,7444.444444444444,11.112462823634855
Volkswagen,VentoTest,8,78000.0,Automatic,first,Petrol,555000,Volkswagen_VentoTest,Mid,9750.0,11.264476926102367
Toyota,Innova,18,191000.0,Manual,first,Diesel,295000,Toyota_Innova,Old,10611.111111111111,12.160033942617156
Hyundai,Creta,6,66000.0,Automatic,second,Petrol,1075000,Hyundai_Creta,Mid,11000.0,11.097425172408931
Toyota,Innova Crysta,8,75000.0,Manual,first,Diesel,1480000,Toyota_Innova Crysta,Mid,9375.0,11.225256725762893
Maruti Suzuki,Vitara-Brezza,6,85600.0,Manual,first,Diesel,750000,Maruti Suzuki_Vitara-Brezza,Mid,14266.666666666666,11.357452244304588
Maruti Suzuki,Ertiga,12,155000.0,Manual,second,Diesel,650000,Maruti Suzuki_Ertiga,Old,12916.666666666666,11.951186847493476
Hyundai,i10,14,46000.0,Manual,second,Petrol,78000,Hyundai_i10,Old,3285.714285714286,10.736418414365376
Maruti Suzuki,Ciaz,9,68000.0,Manual,first,Petrol,330000,Maruti Suzuki_Ciaz,Mid,7555.555555555556,11.127277689932466
Ford,Ecosport,6,73000.0,Automatic,first,Petrol,590000,Ford_Ecosport,Mid,12166.666666666666,11.19822841866684
Honda,City,13,74000.0,Automatic,second,Petrol,375000,Honda_City,Old,5692.307692307692,11.211833885608513
